,0
Fwd IAT Std,0.6213464
Bwd Packet Length Mean,0.44238898
Flow IAT Mean,0.4305123
Fwd Packets Length Total,0.38633403
Fwd IAT Total,0.35981926
Flow IAT Max,0.35541505
Fwd IAT Mean,0.2678038
Flow Duration,0.2651559
Flow IAT Std,0.2576751
Packet Length Max,0.25171542
Packet Length Min,0.24879426
Bwd IAT Max,0.22268961
Packet Length Std,0.20979685
Avg Packet Size,0.2091416
Bwd Packet Length Std,0.19466844
Bwd IAT Std,0.18871203
Packet Length Mean,0.18508856
Bwd Packet Length Min,0.12658879
ACK Flag Count,0.11107221
Bwd Packet Length Max,0.09123123
